"There\'s no note from buyer.","There's no note from buyer."
"Prepend Global Note","Prepend Global Note"
"Append Global Note","Append Global Note"
"Global Section","Global Section"
"Automatically renew listing","Automatically renew listing"
"Note","Note"
"Global Options","Global Options"
"Templates","Templates"
"This text will be added at the beginning of the Etsy listing description field","This text will be added at the beginning of the Etsy listing description field"
"This text will be added at the end of the Etsy listing description field","This text will be added at the end of the Etsy listing description field"
"Append Global Note 1","Append Global Note 1"
"Append Global Note 2","Append Global Note 2"
"Prepend Global Note 1","Prepend Global Note 1"
"Prepend Global Note 2","Prepend Global Note 2"
"Global Notes 1","Global Notes 1"
"Global Notes 2","Global Notes 2"
"Style","Style"
"Import all completed Etsy orders", "Import All Completed Orders"
