"Listings Manager","Administrador de anuncios"
"Catalog Specific Options","Opciones Especificas del Catalogo"
"Sub Category","Sub Categoria"
"Enable \'Source\' Column in Order Grid","Habilitar columna 'Fuente' en la lista de ordenes"
"Set a Prefix for Your Etsy Orders","Establecer un prefijo para las ordenes de Etsy"
"Order Number Prefix","Prefijo Numero de Orden"
"Version","Versión"
"e.g. <em>etsy_</em>, this will appear as <em>etsy_[ordernumber]</em>","ejemplo. <em>etsy_</em>, Esto aparecerá como <em>etsy_[numero_orden]</em>"
"Sales Orders","Ordenes de Venta"
"There\'s no note from buyer.","No hay notas del comprador."
"Prepend Global Note","Nota Global Previa"
"Append Global Note","Nota Global Posterior"
"Global Section","Sección Global"
"Note","Nota"
"Templates","Plantillas"
"This text will be added at the beginning of the Etsy listing description field","Este texto sera adicionado al comienzo del campo descripción de los productos de Etsy"
"This text will be added at the end of the Etsy listing description field","Este texto será adicionado al final del campo descripción de los productos de Etsy"
"Append Global Note 1","Nota Global Posterior 1"
"Append Global Note 2","Nota Global Posterior 2"
"Prepend Global Note 1","Nota Global Previa 1"
"Prepend Global Note 2","Nota Global Previa 2"
"Global Notes 1","Notas Globales 1"
"Global Notes 2","Notas Globales 2"
"Global Options","Opciones Globales"
"Add additional information to your product listings by creating re-usable notes. These could appear before or after each product description. Useful for general information about your shop, shipping info, or other policies, etc.","Adicionar información adicional a tus productos creando notas reusables. Estas podrian aparecer antes o despues de cada descripcion de producto. Util para información general acerca de tu tienda, información de envío, o otras politicas, etc. <a href=""https://merchant-e.zendesk.com/hc/en-us/articles/207288977-Adding-Notes-Globally-to-your-Etsy-Listings"" title=""Que es esto?"" target=""_blank"">Ver ayuda</a>"
"Style","Estilo"
"Import all completed Etsy orders", "Importar todas las ordernes anteriores de Etsy"
